Name,Client,Ink Type,Substrate,Coating,Ink number,SAP,approved_on ,created_at,Comments,customer_id
PMS 221C,,UV,CHIP,AQ,EPS0194C,1544118,INT,30/May/2017,,3
PMS 224,,UV,EVEREST,UV,EPU0224E,1540064,INT,23/Mar/2017,,3
PMS 2248,,UV,N FLUTE,AQ,EPU2248C,1522774,,29/Jun/2017,,3
PMS 225,,UV,EVEREST,AQ,EPU0225E,1611034,INT,11/Mar/2020,,3
PMS 225,,C,EVEREST,AQ,EPC0225C,1560802,INT,1/Feb/2018,,3
PMS 227,,UV,EVEREST,AQ,EPU0277E,1553424,CLIENT,11/Oct/2017,,3
PMS 227 ,,UV,EVEREST,UV,EPU0227E,1553424,CLIENT,23/Mar/2018,,3
PMS 228,,C,CCNB,AQ,EPC0228C,1529251,INT,6/Sep/2019,,3
PMS 2301,,C,ANCORA,AQ,EPC2301AC,1606953,INT,3/Jan/2020,,3
PMS 231,,C,EVEREST,,EPC0231E,1501225,,6/Aug/2015,,3
PMS 233,,C,EVEREST,AQ,EPC0233E,1462450,INT,14/Sep/2014,,3
PMS 233,,UV,EVEREST,,EPU0233E,1529331,,,,3
PMS 2333,,UV,EVEREST,AQ,EPU2333E,1567955,INT,14/May/2018,,3
PMS 234,,C,CCNB,AQ MATTE,EPC0234C,1578971,,16/Nov/2018,,3
PMS 234C,,UV,EVEREST,AQ,EPU0234E,1477603,INT,23/Sep/2014,DENSITY HIGH,3
PMS 234C PINK,,UV,,MATTE AQ,EPS0252C,1577715,,26/Oct/2018,,3
PMS 239,,C,EVEREST,AQ,EPC0239E,1505901,INT,26/Aug/2015,,3
PMS 2397,,C,EVEREST,AQ,EPC2397,1597939,INT,1/Aug/2019,,3
PMS 2397,,C,EVEREST,AQ,EPC2397E,1599333,,26/Aug/2019,,3
PMS 2405,,UV,KALLIMA,UV,EPU2405C,1553138,CLIENT,17/Dec/2017,,3
PMS 2415,,UV,EVEREST,AQ,EPU2415E,1607525,CLIENT,14/Jan/2020,,3
PMS 241C,,UV,EVEREST,AQ,EPU0241E,1600286,,10/Sep/2019,,3
PMS 2422,,UV,EVEREST,UV,EPU2422E,1564615,CLIENT,23/Mar/2018,,3
PMS 254,,UV,Everest,UV,EPU0254E,1613426,Int,23/Apr/2020,,3
PMS 255,,UV,EVEREST,AQ,EPU0255E,1611446,INT,12/Mar/2020,,3
PMS 255,,C,POLY,AQ,EPS0092C,1501546,INT,2/Oct/2018,,3
PMS 255,,C,EVEREST,AQ,EPS0092E,1501546,INT,14/Aug/2015,,3
PMS 255 PURPLE,,UV,EVEREST,AQ,EPS0200E,1546378,CLIENT,17/Oct/2017,,3
PMS 2573C PINK,,UV,MET POLY,,EPS0146C,1525182,CLIENT,28/Sep/2014,,3
PMS 2582,Advil,UV,Everest,AQ,EPU2582E,1611282,Client,9/Apr/2020,,3
PMS 2583,Advil,UV,Everest,AQ,EPU2583E,1493880,Client,24/Apr/2020,,3
PMS 2587,,UV,EVEREST,UV,EPU2587C,1480135,INT,7/Feb/2020,A LITTLE HEAVY TO BOOK,3
PMS 2587,,UV,SBS,AQ,EPU02587,1480135,,28/May/2014,,3
PMS 2587,Advil,C,EVEREST,AQ,EPC2587E,1608841,INT,14/Apr/2020,,3
PMS 2593,Advil,UV,EVEREST,AQ,EPU2593E,1537598,Client,24/Apr/2020,,3
PMS 2593,,C,EVEREST,AQ,EPC02593,1499018,CLIENT,31/Aug/2016,,3
PMS 260,,C,CCNB,AQ MATTE,EPC0260C,1579378,,27/Nov/2018,,3
PMS 260 PURPLE,,UV,MET POLY,,EPS0147C,1525299,CLIENT,28/Sep/2014,,3
PMS 2602,Advil,C,Everest,AQ,EPC2602E,1612963,,14/Apr/2020,,3
PMS 2603,Advil,UV,Everest,AQ,EPU2603C,1467462,Int,2/Mar/2020,,3
PMS 2603,Advil,C,EVEREST,AQ,EPC2603E,1608974,INT,3/Feb/2020,,3
PMS 260C,,UV,CCNB,MATTE AQ,EPU0260C,1528606,,22/Nov/2018,,3
PMS 260C PURPLE,,UV,MET POLY,UV,EPS0134C,1522122,,24/May/2016,,3
PMS 2613,,UV,EVEREST,UV,EPU2613E,1568059,CLIENT,15/May/2018,,3
PMS 2617,,UV,EVEREST,UV,EPU2617E,1529094,INT,17/May/2017,,3
PMS 2645,,C,,AQ,EPC2645E,1542368,INT,26/Apr/2017,,3
PMS 2665,,UV,EVEREST,MATTE AQ,EPU2665E,1594137,INT,3/Jul/2019,,3
PMS 2665,,C,CCNB,AQ,EPC2665C,1585889,INT,13/Mar/2019,,3
PMS 266C,Advil,UV,EVEREST,AQ,EPU0266E,1613444,Client,24/Apr/2020,,3
PMS 267C,,UV,EVEREST,UV,EPU0267E,1537214,,23/Feb/2017,,3
PMS 267C,,UV,EVEREST,AQ,EPU0267E,1537214,INT,7/Feb/2017,,3
PMS 2685,,C,EVEREST,AQ,EPC2685C,1510486,,23/Aug/2017,,3
PMS 2685 PURPLE C,,UV,FOIL,AQ,EPS0133C,1521534,CLIENT,12/May/2016,,3
PMS 2685C PURPLE,,UV,N FLUTE,AQ,EPS0215C,1558816,CLIENT,5/Jan/2018,,3
PMS 268C,,UV,EVEREST,,EPU0268E,1508126,,6/Oct/2015,,3
PMS 271 PURPLE,,UV,EVEREST,AQ,EPS0211E,1553136,CLIENT,17/Oct/2017,,3
PMS 271C PURPLE,,C,EVEREST,AQ,EPS0241C,1576405,INT,2/Oct/2018,,3
PMS 2725,,UV,EVEREST,UV,EPU2725E,1537216,,21/Feb/2017,,3
PMS 2725,,UV,EVEREST,AQ,EPU2725E,1537216,INT,7/Feb/2017,RUN DENSITY DOWN TO MATCH,3
PMS 2725,,UV,EVEREST,UV,EPU2725E,1537216,INT,4/Dec/2017,,3
PMS 2726,,UV,EVEREST,AQ,EPU2726E,1557047,INT,29/Nov/2017,,3
PMS 2726,,C,EVEREST,AQ,EPC2726E,1557317,INT,1/Dec/2017,,3
PMS 2727,,C,EVEREST,AQ,EPC2727E,1554029,INT,27/Jun/2018,,3
PMS 272C,,UV,N FLUTE,AQ,EPU0272C,1558471,INT,27/Dec/2017,,3
PMS 273,,C,EVEREST,AQ,EPC0273E,1611320,INT,11/Mar/2020,,3
PMS 2736,,UV,EVEREST,UV,EPU2736E,1540899,INT,5/Apr/2017,,3
PMS 2736,,UV,SBS,AQ,EPU2736E,1540899,,26/Jul/2019,,3
PMS 2736,,C,EVEREST,AQ,EPC2736,1553117,,16/Oct/2017,,3
PMS 273C,Advil,UV,Everest,AQ,EPU0273C,1528876,Client,25/Mar/2020,,3
PMS 2745,,UV,EVEREST,UV,EPU2745E,1535169,INT,5/Jan/2016,,3
PMS 2746,,UV,SBS,UV,EPU2746C,1497266,,9/Apr/2015,,3
PMS 2746,,C,EVEREST,AQ,EPC2746E,1534916,,3/Jan/2016,,3
PMS 2756,,UV,EVEREST,UV,EPU2756E,1546393,CLIENT,11/Jul/2017,,3
PMS 2756,,C,EVEREST,AQ,EPC2756E,1585887,INT,13/Mar/2019,,3
PMS 2757,,C,CCNB,AQ,EPC2757C,1574321,,30/Aug/2018,,3
PMS 2757,,C,EVEREST,AQ,EPC2757C,1484859,,14/Aug/2015,,3
PMS 2758,,C,EVEREST,AQ,EPC2758E,1573327,CLIENT,16/Apr/2018,,3
PMS 2758,,UV,EVEREST,UV,EPU2758C,1560751,,9/Jan/2018,,3
PMS 2758C BLUE,,UV,EVEREST,AQ,EPS0275E,1585701,,11/Mar/2109,,3
PMS 2767,Advil,UV,Everest,AQ,EPU2767E,1610616,Int,20/Feb/2020,,3
PMS 2767,,C,EVEREST,AQ,EPC2767E,1609075,INT,18/Feb/2020,,3
PMS 2768C BLUE,,UV,EVEREST,UV,EPS0223E,1566615,CLIENT,20/Apr/2018,,3
PMS 279,,C,EVEREST,AQ,EPC0279E,1520163,,30/Sep/2014,,3
PMS 280C,,UV,MET POLY,UV,EPU0280C,1493772,CLIENT,21/Oct/2019,,3
PMS 281C,,UV,EVEREST,UV,EPU0281E,1516636,CLIENT,6/May/2016,,3
PMS 283,,UV,EVEREST,MATTE,EPS0190E,1543465,,17/May/2017,,3
PMS 283C,,UV,EVEREST,AQ,EPU0283E,1607460,CLIENT,14/Jan/2020,,3
PMS 283,,C,EVEREST,,ECP0283E,1607812,,,,3
PMS 284,,C,EVEREST,AQ,EPC0284E,1588526,,30/Sep/2014,,3
PMS 285,,C,EVEREST,AQ,EPC0285C,1505401,CLIENT,26/Jan/2018,,3
PMS 285C BLUE,,UV,MILLMASK,AQ,EPS0284C,1588526,,22/Apr/2019,,3
PMS 286,,C,SBS,AQ,EPC0286C,1484276,INT,15/Aug/2014,,3
PMS 286C, ,UV,MET POLY,UV,EPS0286C,,,31/May/2016,,3
PMS 286C BLUE,,PLASLAM,MET POLY,UV,EPS0137C,1522515,,31/May/2016,,3
PMS 287,,UV,EVEREST,MATTE,EPU0287E,1524794,,17/May/2017,,3
PMS 287,,UV,EVEREST,MATTE ,EPS0191E,1543591,CLIENT,19/May/2017,,3
PMS 288C,,UV,SBS,AQ,EPU0288C,1470994,,6/Dec/2013,,3
PMS 2905,,UV,EVEREST,,EPU2905E,1524968,CLIENT,28/Nov/2017,,3
PMS 2905,,UV,EVEREST,UV,EPU2905E,1524968,INT,19/Jul/2016,,3
PMS 291,,C,EVEREST,AQ,EPC0291C,1493876,INT,25/Aug/2015,,3
PMS 2915,,UV,EVEREST,UV,EPU2915E,1583489,INT,5/Feb/2019,,3
PMS 291C BLUE,,UV,SUS,UV,EPS0295C,1596955,INT,17/Jul/2019,,3
