Name,Client,Ink Type,Substrate,Coating,Ink number,SAP,approved_on ,created_at,Comments
PMS BLACK C,LOBLAWS,UV,MILLMASK,AQ,EPS0183E,1522773,,22-Apr-19,
PMS CARDBOARD BEIGE,,UV,EVEREST UNC,,EPS0239U,1575080,,,
PMS COOL GREY #5,,UV,EVEREST,AQ,EPS0274E,1585700,,11-Mar-09,
PMS COOL GREY 5,,UV,EVEREST,AQ,EPS0218C,1560749,INT,01-Feb-18,
PMS COOL GREY 8,,UV,EVEREST,AQ,EPS0217C,1559577,,17-Jan-18,
PMS PANTONE PINK,,UV,EVEREST,UV,EPS0222E,1565582,CLIENT,09-Apr-18,
PMS PANTONE PURPLE C,,UV,CCNB,AQ,EPS0197C,1544955,,14-Jun-17,
PMS WAL FLEX BLUE C,,UV,EVEREST,AQ,EPS0221E,1565429,CLIENT,05-Apr-18,
PMS WARM GREY 5 C,,UV,MILLMASK,AQ,EPS0285E,1588532,,22-Apr-19,
PMS WARM RED,,UV,EVEREST,ST+UV,EPS0174E,1530492,,31-Oct-16,
PMS WARM RED,,UV,EVEREST,UV,EPS0289E,1593828,,03-Jun-19,
PMS YELLOW,,C,SBS,,EPS0036C,1473428,,31-Jan-14,
PRO BLACK,,C,EVEREST,AQ,PRO BLACK,1263760,,06-May-16,
PRO CYAN,SAP NOT EXIST,C,CCNB,,PRO CYAN,1263761,,28-Sep-17,
PRO MAGENTA,,C,EVEREST,AQ,PRO MAGENTA,1263772,,06-May-16,
PRO YELLOW,,C,EVEREST,AQ,PRO YELLOW,1263773,,06-May-16,
PROCESS BLACK,,UV,EVEREST,AQ,PRO BLACK,1372459,CLIENT,19-Jun-19,
RHODAMINE RED,,C,,,EPS0023C,1472258,INT,02-Nov-17,
Rubine Red,Advil,UV,Everest,AQ,EPS0303E,1611141,INT,10-Mar-20,
SLOW MAG SPECIAL 151 ORANGE,CPC,C,SBS,AQ,EPS0060C,1486523,INT,25-Sep-14,OK TO COLOUR STANDARD
SLOW MAG SPECIAL 281 BLUE,CPC,C,SBS,AQ,EPS0059C,1486497,INT,25-Sep-14,OK TO COLOUR STANDARD
SLOW MAG SPECIAL 626 GREEN,CPC,C,SBS,AQ,EPS0061C,1486524,INT,25-Sep-14,OK TO COLOUR STANDARD
SP TUXEDO BROWN,,UV,EVEREST,AQ,EPS0090C,1500691,,08-Jun-15,KINGS PASTRY BAR CAKE
SP TUXEDO YELLOW,,UV,EVEREST,AQ,EPS0091C,1500734,,08-Jun-15,KINGS PASTRY BAR CAKE
TOM FORD FOIL GOLD,,UV,EVEREST,UV,EPS0123E,1519585,,12-Apr-16,UV KCC7055
TUMS 2757C BLUE,NOWPAK,UV,ANGLECOAT,AQ,EPS0214C,1557684,,12-Dec-17,
UP & UP CYAN,QPSI,UV,EVEREST,AQ,EPS0271C,1583307,INT,01-Feb-19,
UP & UP GREEN,QPSI,UV,EVEREST,AQ,EPS0272C,1583308,INT,01-Feb-19,
UP & UP RED,QPSI,UV,EVEREST,AQ,EPS0273C,1583323,INT,01-Feb-19,
UV ORANGE (MADIS+IK),,UV,N FLUTE,AQ,EPS0209,1550457,,03-Oct-17,
WAL FLEX BLUE,,CONV,EVEREST,AQ,EPS0236E,1574699,,06-Sep-18,
WARM GREY 4C,,CONV,EVEREST,AQ,EPS0144E,1525071,CLIENT,26-Jan-18,
WRIGLEYS 10451 GREEN,NOWPAK,UV,STRATHCOTE,AQ,EPS0171C,1528435,CLIENT,07-Sep-17,
WRIGLEYS 10451 GREEN,NOWPAK,UV,EVEREST,AQ,EPS0171C,1528435,CLIENT,07-Sep-17,
WRIGLEYS 20191 RED,NOWPAK,CONV,CCNB,AQ,EPS0243C,1577150,,17-Oct-18,
WRIGLEYS 20761 RED,NOWPAK,UV,STRATHCOTE,AQ,EPS0158C,1528204,CLIENT,23-Aug-16,
WRIGLEYS 22170 LT PINK,NOWPAK,UV,STRATHCOTE,AQ,EPS0151C,1528196,,23-Aug-16,
WRIGLEYS 22230 PINK,NOWPAK,UV,STRATHCOTE,AQ,EPS0149C,1528192,CLIENT,23-Aug-16,
WRIGLEYS 30131 DK BLUE,NOWPAK,UV,STRATHCOTE,AQ,EPS0156C,1528201,CLIENT,23-Aug-16,
WRIGLEYS 3023 DK BLUE,,C,ABS,,EPS0128C,1520164,,19-Apr-16,
WRIGLEYS 30231 DK BLUE,NOWPAK,UV,EVEREST,AQ,EPS0169C,1528400,CLIENT,07-Sep-17,
WRIGLEYS 30671 LT GREEN,NOWPAK,UV,EVEREST,AQ,EPS0170C,1528432,CLIENT,07-Sep-17,
WRIGLEYS 30671 LT GREEN,NOWPAK,UV,STRATHCOTE,AQ,EPS0170C,1528432,CLIENT,07-Sep-17,
WRIGLEYS 30921 BLUE,NOWPAK,UV,EVEREST,AQ,EPS0172C,1528437,CLIENT,07-Sep-17,
WRIGLEYS 30921 BLUE,NOWPAK,UV,STRATHCOTE,AQ,EPS0172C,1528437,CLIENT,07-Sep-17,
WRIGLEYS 31321,NOWPAK,UV,STRATHCOTE,AQ,EPS0167C,1528208,,24-Sep-14,
WRIGLEYS 31921 BLUE,NOWPAK,UV,EVEREST,AQ,EPS0238E,1574812,CLIENT,10-Sep-18,
WRIGLEYS 32130 BLUE,NOWPAK,UV,STRATHCOTE,AQ,EPS0155C,1528200,CLIENT,23-Aug-16,
WRIGLEYS 40621 YELLOW,NOWPAK,UV,STRATHCOTE,,EPS0159C,1527968,,29-Aug-16,
WRIGLEYS 40640 YELLOW,NOWPAK,UV,STRATHCOTE,AQ,EPS0153C,1528198,CLIENT,23-Aug-16,
WRIGLEYS 40640 YELLOW,NOWPAK,CONV,CCNB,AQ,EPS20245C,1577598,,25-Oct-18,
WRIGLEYS 60211 PURPLE,NOWPAK,UV,STRATHCOTE,AQ,EPS0157C,1528203,CLIENT,23-Aug-16,
WRIGLEYS 90041M SILVER,NOWPAK,UV,EVEREST,AQ,EPS0168,1528370,CLIENT,07-Sep-17,
WRIGLEYS DK BLUE 30131,NOWPAK,CONV,CCNB,AQ,EPS0250C,1577612,,25-Oct-18,
WRIGLEYS LT PINK 22170,NOWPAK,CONV,CCNB,AQ,EPS0246C,1577624,,25-Oct-18,
WRIGLEYS PINK 22230 ,NOWPAK,CONV,CCNB,AQ,EPS0247C,1577623,,25-Oct-18,
WRIGLEYS PURPLE 60211,NOWPAK,CONV,CCNB,AQ,EPS0249C,1577601,,25-Oct-18,
WRIGLEYS RED 20761,NOWPAK,CONV,CCNB,AQ,EPS0248C,1577599,,25-Oct-18,
WRIGLEYS RED 22101,NOWPAK,CONV,CCNB,AQ,EPS0234C,1573538,CLIENT,19-Sep-18,
WRIGLEYS YELLOW 40621,NOWPAK,UV,CCNB,AQ,EPS0233C,1573536,CLIENT,16-Sep-18,
ZERO FRICTION BLUE,,UV,EVEREST,UV,EPS0122E,1518940,,04-Apr-16,UV KCC7055
